原文（簡體）,翻譯（繁體）
午茶系带,午茶繫帶
午饭,午餐
卓尔不凡,卓越不凡
协议,協議
卜梦牌面,卜夢牌面
卡其色西服,卡其色西裝
卡西娅,卡西婭
同城急送,即時快遞
反復,反覆
采风,取材
古籍菜谱,古籍食譜
可可,可可
可心卷,可心捲
靠谱,可靠
可露丽,可麗露
自助餐,吃到飽
同框照,合照
合同,合約
背带款,吊帶款
挂件,吊飾
吟游,吟遊
吟游少年,吟遊少年
吟游诗章,吟遊詩章
吧台,吧台
呐喊,吶喊
和弦,和弦
咒骂,咒罵
品尝,品嚐
哥特,哥德
哪儿,哪裡
惟妙惟肖,唯妙唯肖
商业街,商圈
商务区,商業區
开通,啟動
咔嚓,喀嚓
单词,單字
唢呐,嗩吶
叹世凝星,嘆世凝星
尝尝,嚐嚐
封闭车,囚車
回忆小铺,回憶小舖
返场,回歸
回复,回覆
回看,回顧
返利,回饋
返利专区,回饋專區
因子,因子
初中,國中
初中英语书,國中英語課本
地址,地址
培养至要求阶段,培養至要求門檻
基站,基地台
塑料袋,塑膠袋
亞克力,壓克力
长寿面,壽麵
夏天的打开方式,夏天的生活指南
外围,外圍
外卖,外送
夜幕巡回,夜幕巡迴
夜幕巡游,夜幕巡遊
夜露叹息,夜露嘆息
大小姐的假象,大小姐的假象
门厅,大廳
大耳狗,大耳狗喜拿
海量,大量
天堂福利院,天堂育幼院
宇航员,太空人
太阳镜,太陽眼鏡
奇趣环游,奇趣環遊
奇迹,奇迹
奇迹大陆,奇迹大陸
装束,套裝
女侍发带,女侍髮帶
百利甜,奶酒
奶香火腿肠,奶香熱狗
好奇奶牛,好奇乳牛
姜子牙,姜子牙
词书,字典
宇航员收纳摆件,宇航員收納擺飾
安全压杠,安全桿
安静的午后,安靜的午後
完美程序,完美程式
公众号,官方帳號
客服服务体系,客戶服務體系
客户端,客戶端
宣发,宣傳
寄存处,寄放處
宽檐礼帽,寬簷禮帽
封禁,封鎖
能手,專家
特供,專屬
项目,專案
专线巴士,專車巴士
对话框,對話框
历史聊天,對話紀錄
对象,對象
游览图鉴,導覽地圖
小丑的问好,小丑的問候
小楼闲碧,小樓閒碧
空调毯,小毯子
灌汤包,小籠湯包
课代表,小老師
小铺,小舖
鼓号手,小號手
少女朋克,少女龐克
就任特供,就任補給
尼安德特人,尼安德塔人
局长就任特供,局長就任補給
羊奶乳酪,山羊起司
车间,工作室
工装制服,工作服
工笔画,工筆畫
巴洛克,巴洛克
中心城区,市中心
市政速运,市政快遞
幕布,布幕
布景,布景
账户,帳號
带鱼,帶魚
干扰,干擾
干邑白兰地,干邑白蘭地
幽光信号,幽光信號
幽蓝字节,幽藍位元組
睡垫,床墊
胶片,底片
店铺,店舖
卫生间,廁所
广告部,廣告部
广漠凌波,廣漠凌波
弦乐器,弦樂器
弹窗,彈出式視窗
蹦床,彈跳床
彩票,彩券
视频,影片
仿佛,彷彿
仿若,彷若
后台排练,後台排練
后缀,後綴
双肩包,後背包
后备箱,後車箱
御剑,御劍
御隐,御隱
御隐师,御隱師
复刻,復刻
复苏,復甦
复盘,復盤
循环,循環
心意裁缝铺,心意裁縫舖
心源代码,心源代碼
心系八卦,心繫八卦
心音回响,心音迴響
主课,必修課
志愿者,志工
志愿者小铺,志工小舖
缓存,快取
快捷,快速
激流勇进,急流勇進
砰然心约,怦然心約
恒容线圈,恆容線圈
恒星坍缩,恆星黑洞
怔愣,恍神
悠扬咏叹,悠揚詠嘆
情侣衫,情侶裝
噩梦,惡夢
虽然但是,想不到
念想,想念
意气凌霄,意氣凌霄
庆幸,慶幸
欲刃锋芒,慾刃鋒芒
欲壑,慾壑
欲望之神,慾望之神
欲望之音,慾望之音
欲望系带,慾望繫帶
欲望花火,慾望花火
欲望魔镜,慾望魔鏡
欲镰锋芒,慾鐮鋒芒
欲魇降临,慾魘降臨
抑郁症,憂鬱症
愤怒奶牛,憤怒乳牛
应用宝商店,應用程式商店
戈夫里,戈夫里
死线,截止期限
手工草编阳帽,手工草編遮陽帽
手账,手帳
手柄,手把
手札,手札
胳膊,手臂
电筒,手電筒
扎染,扎染
托盘,托盤
抵扣,折抵
出率,抽取機率
拉锁,拉鍊
拖拽,拖曳
挺括,挺拔
花捧,捧花
卷风烟,捲風煙
挣扎,掙扎
采购办,採購部
种草,推坑
推送,推播
贴士,提示
换一换,換一批
摇杆,搖桿
竞答,搶答
台球,撞球
摄像头,攝影機
义体人,改造人
教材书,教科書
叩击,敲擊
叩响,敲響
数据汇流,數據匯流
文件,文件
文鸟摆件,文鳥擺飾
斑点游园会,斑點園遊會
挎包,斜背包
桌尾新闻,新聞時事
转向灯,方向燈
旋转茶杯,旋轉咖啡杯
日进斗金,日進斗金
早饭,早餐
星星发卡,星星髮夾
星幕下的奏鸣,星空下的演奏
星莓泡泡卷,星莓泡泡捲
星愿烟花,星願煙火
映像,映像
春日便装,春日便服
时光钟表铺,時光鐘錶舖
晚饭,晚餐
晴沙纪念铺,晴沙紀念舖
智能音箱,智慧音箱
暖暖的紫发,暖暖的紫髮
昵称,暱稱
上新,更新
书立,書擋
书札,書札
书签留痕,書箋留痕
书签,書籤
最优,最佳
最优方案,最佳方案
侍应生,服務生
服帖,服貼
期梦露台,期夢露臺
时间段,期間
李尔里德,李爾里德
纸杯蛋糕,杯子蛋糕
枝丫,枝椏
柔和弦律,柔和弦律
查尔斯,查爾斯
观看定妆册,查看定妝冊
校园街采,校園街採
实践学分,校外實習學分
壁纸,桌布
台历,桌曆
桌面台球,桌面撞球
条纹马甲,條紋西裝背心
梳妆台,梳妝臺
护林人,森林護管員
曲谱,樂譜
预制板,樓板
标注,標註
爱豆,模特兒
橘橘发卡,橘橘髮夾
机械朋克,機械龐克
几率,機率
机能书札,機能書札
横屏,橫向螢幕
档期,檔期
举报,檢舉
台灯形逗狗器,檯燈形逗狗器
权限,權限
历史剧目,歷史劇碼
段位,段位
毛巾卷,毛巾卷
样片,毛片
毛坯屋,毛胚屋
巨型气体行星,氣態巨行星
水下悠游,水下悠游
水汽,水氣
水汽小铺,水氣小舖
水坛,水缸
永恒湖光,永恆湖光
污染,汙染
污浊,汙濁
污秽,汙穢
沐浴露,沐浴乳
沙袋,沙包
沙发土豆,沙發馬鈴薯
脚油门,油門
泡面,泡麵
刷屏,洗版
洗衣液,洗衣精
洛川劳动模范,洛川模範勞工
流行风标,流行風標
浮浪游弋,浮浪游弋
消夏衬衫,消暑襯衫
凉拖,涼鞋
凄惶倒影,淒惶倒影
淡金卷发,淡金卷髮
深色长衫,深色長袍
混沌都市,混沌城市
浅叹,淺嘆
浅格发圈,淺格髮圈
浅池游弋,淺池游弋
清新便签,清新便利貼
游弋,游弋
游鱼灯梦,游魚燈夢
湛蓝舞台,湛藍舞臺
悠悠球,溜溜球
溯回,溯洄
漂浪游鱼,漂浪遊魚
报告厅,演講廳
旋涡,漩渦
旋涡星云,漩渦星雲
漫游音符,漫遊音符
潜泳镜,潛水鏡
刘海,瀏海
浏览,瀏覽
弥漫,瀰漫
灾变应对框架,災害應對機構
炸团子,炸糰子
尤克里里,烏克麗麗
罪印,烙印
考拉,無尾熊
无效信号,無效訊號
烟杆,煙桿
烟花,煙火
煞有介事,煞有其事
刹车,煞車
熨帖,熨貼
热搜,熱門搜尋關鍵字
运营,營運
桌尾爆料,爆料公舍
架子鼓,爵士鼓
牵思舞剧,牽思舞劇
获取,獲得
棒球棍,球棒
琪琪尓,琪琪爾
瑟茜,瑟西
璇花垂,璇花垂
璇花泪,璇花淚
中央研究院,環研究院
甜莓泡泡卷,甜莓泡泡捲
甜蜜疗愈,甜蜜療癒
甜酷舞台,甜酷舞臺
甜品,甜點
扎啤,生啤酒
流水线,生產線
生骨肉,生食肉餅
苏醒,甦醒
苏醒怪,甦醒怪
用户协议,用戶協議
当前版本已失效,當前版本須更新
打下手,當助手
卡机,當機
打打下手,當當助手
典当行,當鋪
愈药瓶,癒藥瓶
登机箱,登機箱
登录,登錄
发布,發布
发现奇迹,發現奇迹
白沙,白砂
白色戗驳领西装,白色平駁領西裝
白大褂,白袍
皑雪蜷发,皚雪蜷髮
皮肤,皮膚
盟首,盟主
尽快,盡快
尽量,盡量
监管终端,監管系統
卢米亚,盧米亞
竖屏,直向螢幕
传销窝点,直銷據點
相册,相簿
相关帖子,相關文章
看上去,看起來
砂海特供,砂海補給
回车键,確認鍵
祈愿签,祈願籤
仙女教母,神仙教母
小卖部,福利社
秋收礼赞,秋收禮讚
秘境礼赞,秘境禮讚
程序员,程式設計師
棱镜,稜鏡
种草鸡,種草雞
谷草,稻草
空谷茉语,空谷茉語
站台,站台
竹签,竹籤
笑眯眯,笑咪咪
算卦,算卦
节日小铺,節日小舖
签文,籤文
米色平驳领西装,米色槍駁領西裝
粉甜系带,粉甜繫帶
精准,精準
精准运转,精準運轉
糖袋,糖包
糖果疗愈,糖果療癒
糖豆格子,糖粒格子
糯叽甜心,糯嘰甜心
糯叽糖心,糯嘰糖心
红尘漫卷,紅塵漫卷
红玫系结,紅玫繫結
红黑腕表,紅黑腕錶
纯白信札,純白信札
纯白礼赞,純白禮讚
纯铜复古台灯,純銅復古檯燈
累充,累儲
积累,累積
终端法则,終端法則
收官,結案
绚光信号,絢光信號
统御,統御
维伦汀,維倫汀
网吧,網咖
博主,網紅
网上,網路上
绮光礼赞,綺光禮讚
加急特训,緊急特訓
缄默赞歌,緘默讚歌
编辑模板,編輯範本
绳结发饰,繩結髮飾
系飞羽,繫飛羽
缤纷华夫饼,繽紛鬆餅
罢休,罷休
多味小饼干,美味小餅乾
美乐蒂,美樂蒂
美毛小鱼干,美毛小魚乾
视频部,美編部
群聊,群組對話
羡慕,羨慕
义体,義肢
翔鸾游龙,翔鸞遊龍
高光时刻,耀眼時刻
老闫,老閻
圣卡利耶音乐厅,聖卡利耶音樂廳
旧物,聖物
圣诞节,聖誕節
盈满钵,聚寶盆
联动,聯動
听上去,聽起來
肃肃凌云,肅肅凌雲
背单词,背單字
腕表,腕錶
自在游鱼,自在游魚
自愈,自癒
臻选之赞,臻選之讚
红火,興旺
老城区,舊城區
舞台,舞台
舞剧,舞台劇
舞台表演,舞台表演
艾琳卡,艾琳卡
艾瑞卡,艾瑞卡
芒香西番莲,芒香百香果
麻球,芝麻球
花季礼赞,花季禮讚
花巡礼赞,花巡禮讚
花花发卡,花花髮夾
芳香周末,芳香週末
茶煲太太,茶壺太太
茶话会,茶會
草耙子,草耙子
荒原舞娘,荒原舞孃
莫奈舞曲,莫內舞曲
菜品,菜色
叶片凉拖,葉片涼鞋
葛士华,葛士華
西柚,葡萄柚
蒸腾,蒸散
花洒,蓮蓬頭
蕾丝蝴蝶发带,蕾絲蝴蝶髮帶
姜饼熊,薑餅熊
蔷薇信笺,薔薇信箋
工资,薪水
藻间游鱼,藻間游魚
朗姆酒,蘭姆酒
蜜糖嘀嗒,蜜糖滴答
蜜糖疗愈,蜜糖療癒
十字结长袜,蝴蝶結長襪
充电宝,行動電源
日程,行程
档期表,行程表
市场部,行銷部
街角书立模型,街角書擋模型
卫生巾,衛生棉
表象,表象
内饰,裝潢
终端,裝置
裤腿,褲管
西月里街,西月街
国际象棋,西洋棋
西服,西裝
西装马甲,西裝背心
视频通话,視訊通話
亲昵,親暱
解锁,解鎖
卸载,解除安裝
定制,訂製
定制休闲衫,訂製休閒服
定制衬衫,訂製襯衫
计划,計畫
计算器,計算機
演算纸,計算紙
较真,計較
教导主任,訓導主任
记忆回廊,記憶迴廊
设计便签,設計便利貼
注定之遇,註定之遇
注销,註銷
诗章回响,詩章迴響
诗谱余音,詩譜餘音
夸赞,誇獎
誓言礼赞,誓言禮讚
画盘,調色盤
请求已废弃,請求已失效
桌尾,論壇
桌尾论坛,論壇公告
谧月烛台,謐月燭台
警察,警察
看护士,護士
变道,變換車道
让爱出行,讓愛傳出去
谷底,谷底
谷风轻扬,谷風輕揚
豆寇年华,豆蔻年華
猫猫的梦游,貓貓的夢遊
集装箱,貨櫃
售卖,販售
点滴提醒,貼心提醒
信息汇流,資訊匯流
赫赫凌云,赫赫凌雲
赴任物资,赴任補給
芝士,起司
芝士巧克力,起司巧克力
芝士蛋糕,起司蛋糕
小超市,超商
超声波驱蚊器,超聲波驅蚊器
过载警报,超載警報
越州礼铺,越州禮舖
趣巧编发,趣巧編髮
跑圈,跑操場
有轨电车,路面電車
踟躇旅蝶,踟躕旅蝶
身份,身分
尾灯,車尾燈
车载收纳箱,車用收納箱
行车道,車道
软萌熊连体睡衣,軟萌熊連身睡衣
轻卷微暇,輕捲微暇
轻轻松松,輕輕鬆鬆
轻雅单卷,輕雅單捲
轮回,輪迴
办公楼,辦公室
农场信号,農場信號
迂回,迂迴
迭代光轮,迭代光輪
回廊,迴廊
回荡,迴蕩
调头车道,迴轉車道
迷蒙,迷濛
迷蒙雨夜,迷濛雨夜
追缉,追蹤
回退,退回
通过,透過
这只,這隻
通信,通訊
通信器,通訊器
卫衣裙,連帽洋裝
毛领款,連帽絨毛款
链接,連結
周年庆,週年慶
周日,週日
周間,週間
游弋恋心,遊弋戀心
游击战术,遊擊戰術
遍游见众生,遍遊見眾生
远野采风,遠野采風
阳帽,遮陽帽
副课,選修課
丢失,遺失
那只,那隻
郁梦伊始,郁夢伊始
城郊,郊區
匹配,配對
酷酷太阳镜,酷酷太陽鏡
医保大讲坛,醫保大論壇
金属铭牌圈,金屬名牌項圈
金鱼系袋,金魚繫袋
事无巨细,鉅細靡遺
银杏书签,銀杏書箋
银发哥特,銀髮哥德
错误回路,錯誤迴路
锻炼,鍛鍊
镜中的假象,鏡中的假象
钥匙扣,鑰匙圈
长廊回响,長廊迴響
票券,門票
闪电纹衬衣,閃電紋襯衫
解鎖,開啟
闲敲棋子,閒敲棋子
闲池眠月,閒池眠月
闲趣心情,閒趣心情
防控点,防疫區
阿齐,阿齊
限时特供,限時補給
陈列装饰台,陳列裝飾臺
随心捲,随心卷
随心卷,隨心捲
团伙,集團
杂货间,雜物間
噪点,雜點
云昙,雲曇
云锦小课堂,雲錦小學堂
过山车,雲霄飛車
零度黑糖特饮,零度黑糖特調
电台面试,電台面試
邮箱,電子信箱
游戏厅,電子遊樂場
电感回路,電感迴路
赛博朋克,電馭叛客
水露值,露水值
房车出行,露營車出遊
房车露营地,露營車營地
灵签祈福,靈籤祈福
青翠流苏扇卜,青翠流蘇扇
青藤回响,青藤迴響
自动驻车,靜止時自動煞車
直面,面對
页签,頁面
默认,預設
头狼,領頭狼
头疼,頭痛
桌尾热帖,頻果熱門
额外分数提升,額外分數加成
额发,額髮
微观镜,顯微鏡
風向標,風向儀
飒沓江湖行,颯沓江湖行
饥渴,飢渴
食盆,飼料盆
投喂,餵食
馥郁,馥郁
馥郁醇香,馥郁醇香
土豆,馬鈴薯
感叹号,驚嘆號
赠券,體驗券
高架,高架道路
高清,高畫質
高定,高級訂製
发上云,髮上雲
发圈,髮圈
发卡,髮夾
发梢,髮梢
发间,髮間
魔术贴,魔鬼氈
鱼游越州,魚游越州
吞拿鱼,鮪魚
吞拿鱼猫粮,鮪魚貓糧
三文鱼,鮭魚
三文鱼猫粮,鮭魚貓糧
鸭鸭队列,鴨鴨隊列
鹌鹑蛋黄冻干,鵪鶉蛋黃球
话筒,麥克風
坍缩,黑洞
黑焰余火,黑焰餘火
黑糖特工,黑糖特務
音乐碟,黑膠唱片
黑色正装马甲,黑色西裝背心
干脆面,點心麵
点击添加气候,點擊新增氣候
输液袋,點滴袋
点赞,點讚
暗淡,黯淡
齐格里祭司,齊格里祭司
齿轮咔嗒,齒輪哢嗒
朋克,龐克
朋克之夜,龐克之夜
朋克皮带,龐克皮帶
监察数据,監察數據
请问你这笔是怎么计算的,請問你這筆是怎麼計算的
提交事务,提交事務
